"nr";"min";"median";"max";"op/s";"total";"#ops";"chunk"
512;2528064;2540226;2545157;175;2551131;448;1048576
512;917390;920148;925875;479;933759;448;1048576
512;268401;270224;272788;1617;277038;448;1048576
512;340724;346327;350465;1260;355505;448;1048576
512;801022;803461;893382;636;905303;576;1048576
512;735222;738027;918008;760;925811;704;1048576
512;811458;813923;1011057;817;1017218;832;1048576
512;877832;881024;1090321;875;1097096;960;1048576
512;839999;946482;950579;1131;961780;1088;1048576
512;918810;1107920;1129163;1067;1139327;1216;1048576
512;1098537;1331931;1355269;983;1366913;1344;1048576
512;1095147;1331730;1435677;1013;1452807;1472;1048576
512;1132164;1283396;1427980;1104;1448797;1600;1048576
512;1148493;1257834;1428175;1189;1452871;1728;1048576
512;1393761;1505389;1718723;1066;1740447;1856;1048576
512;1317913;1621554;1861590;1054;1881346;1984;1048576
512;1269163;1467684;1588569;1300;1623770;2112;1048576
512;1281049;1459739;1651695;1336;1675922;2240;1048576
512;1229206;1403796;1607238;1454;1627696;2368;1048576
512;1384350;1539160;1737977;1406;1774593;2496;1048576
512;1493891;1691858;1938679;1338;1960375;2624;1048576
512;1402450;1569541;1766909;1519;1811118;2752;1048576
512;1430685;1590512;1778657;1593;1806796;2880;1048576
512;1521278;1717645;1884921;1565;1921818;3008;1048576
512;1448085;1593795;1948064;1579;1984948;3136;1048576
512;416684;420556;446681;1502;553913;832;524288
512;235430;239309;260060;3103;268126;832;524288
512;288854;293939;314345;2574;323186;832;524288
512;217831;220926;242877;3330;249779;832;524288
512;228923;233705;255364;3137;265169;832;524288
512;210803;216868;236399;3362;247458;832;524288
512;364006;370341;392632;2066;402565;832;524288
512;382380;385898;413828;2276;421727;960;524288
512;272008;312066;317058;3264;333332;1088;524288
512;252547;295445;304540;3832;317259;1216;524288
512;397606;545290;602620;2183;615406;1344;524288
512;703140;863957;958610;1507;976334;1472;524288
512;449264;586896;682137;2288;699108;1600;524288
